seed	genes
ATRNL1	MC4R
ATRNL1	LY6G6F
ATF7IP	ATF7IP
ATF7IP	CSNK2B
ATF7IP	NFKBIA
ATF7IP	PML
ATF7IP	PDS5A
ATF7IP	KNL1
CHAF1A	CHAF1A
CHAF1A	CLIC1
CHAF1A	MYC
CHAF1A	HSPA1A
CHAF1A	ARPC2
CHAF1A	PLEC
CHAF1A	PPP1R12A
CHAF1A	ANP32B
CHAF1A	MYO18A
ANP32A	ANP32A
ANP32A	CLIC1
ANP32A	MYC
ANP32A	HSPA1A
ANP32A	VARS
ANP32A	SARS
ANP32A	HSPA1L
ANP32A	ANP32E
MAP1B	MAP1B
MAP1B	CLIC1
MAP1B	MYC
MAP1B	HSPA1A
MAP1B	VARS
MAP1B	PSMA5
MAP1B	HSPA1L
MCM7	ORC1
MCM7	MCM7
MCM7	CLIC1
MCM7	MYC
MCM7	HSPA1A
MCM7	IKZF3
MCM7	VARS
MCM7	HSPA1L
CCN3	CCN3
CCN3	RELA
CCN3	HSPA1A
CCN3	HSPA1L
CCN3	PNMT
KMT2A	KMT2A
KMT2A	E2F6
KMT2A	EED
KMT2A	CSNK2B
KMT2A	VARS
KMT2A	PDS5A
KMT2A	PSIP1
NEB	NEB
NEB	PRKAB2
NEB	CLIC1
NEB	CSNK2B
NEB	NFKBIA
NEB	MYC
NEB	HSPA1A
NEB	IKZF3
NEB	PDS5A
NGFR	NGFR
NGFR	NDN
NGFR	TRIM37
NGFR	NEFL
NGFR	RASD1
NGFR	CDC20B
LSM7	LSM7
LSM7	LSM2
LSM7	CLIC1
LSM7	MYC
LSM7	CDK5RAP3
LSM7	HSPA1A
LSM7	CRMP1
LSM7	RPL10A
LSM7	HSPA1L
SNCAIP	SNCAIP
SNCAIP	SIAH2
SNCAIP	ARPC2
SNCAIP	PLEC
SNCAIP	PPP1R12A
SNCAIP	MYO18A
EPB41L1	EPB41L1
EPB41L1	CLIC1
EPB41L1	MYC
EPB41L1	HSPA1A
EPB41L1	PSMA5
EPB41L1	HSPA1L
EPB41L1	DDAH2
MAP3K8	MAP3K8
MAP3K8	RELA
MAP3K8	CSNK2B
MAP3K8	NFKBIA
MAP3K8	HSPA1A
MAP3K8	HSPA1L
MAP3K8	PNMT
NOP2	NOP2
NOP2	SORT1
NOP2	CLIC1
NOP2	MYC
NOP2	HSPA1A
NOP2	VARS
NOP2	HSPA1L
ETS1	ETS1
ETS1	CLIC1
ETS1	MYC
ETS1	HSPA1A
ETS1	ARPC2
ETS1	PLEC
ETS1	PPP1R12A
ETS1	MYO18A
PLXNA1	PLXNA1
PLXNA1	CLIC1
PLXNA1	MYC
PLXNA1	HLA-B
PLXNA1	EPHA3
PLXNA1	HSPA1A
PLXNA1	HLA-DRA
PLXNA1	LNPEP
